"1","Абрикос консервированный","0.5","0","21","86"
"2","Абрикосы","0.9","0.1","9","40.5"
"3","Авокадо","1.9","19.5","1.9","190.7"
"4","Агар пищевой","4","0","76","320"
"5","Аджика перечная грузинская","1","0","3","16"
"6","Айва","0.6","0.5","7.9","38.5"
"7","Айран кисломолочный","2.8","3.2","4.1","56.4"
"8","Акула катран","19.9","7","0","142.6"
"9","Алыча","0.2","0","6.4","26.4"
"10","Ананас","0.4","0.2","11.5","49.4"
"11","Ананас консервированный","0.4","0.2","15.5","65.40000000000001"
"12","Анчоус атлантический свежий","20.1","6.1","0","135.3"
"13","Анчоус консервированный в масле","25.2","10","0","190.8"
"14","Апельсин","0.9","0.2","8.1","37.8"
"15","Арбуз","0.7","0.2","8.800000000000001","39.8"
"16","Артишоки","1.2","0.1","6","29.7"
"17","Багет для французского хот-дога, 185 мм","7.9","0.9","49.2","236.5"
"18","Багет французский","9","1.9","56.1","277.5"
"19","Баклажаны","1.2","0.1","5.1","26.1"
"20","Баклажаны жареные","1.92","10.14","8.44","132.7"
"21","Баклажаны маринованные","1.31","8.470000000000001","6.04","105.63"
"22","Балык Маслянной рыбы х/к","20.4","12.5","0","194.1"
"23","Балык Палтуса х/к","21.6","10.1","0","177.3"
"24","Балык осетровый вяленый (провесной)","21.6","10.1","0","177.3"
"25","Балык осетровый холодного копчения","20.4","12.5","0","194.1"
"26","Балык сома провесной (спинка)","21.6","10.1","0","177.3"
"27","Балык толстолоба провесной (спинка)","21.6","10.1","0","177.3"
"28","Бамия свежая","2.8","1","3","32.2"
"29","Бананы","1.5","0.1","21","90.90000000000001"
"30","Барабулька тушка с/м","18.5","0.9","0","82.09999999999999"
"31","Барабулька филе с/м","18.5","0.9","0","82.09999999999999"
"32","Баранина Мякоть","17","14.4","0","197.6"
"33","Баранина задняя нога на кости","17","14.4","0","197.6"
"34","Баранина корейка (Каре молодого барашка)","15.9","21.5","0","257.1"
"35","Баранина легкое","15.6","2.3","0","83.09999999999999"
"36","Баранина печень","18.7","2.9","0","100.9"
"37","Баранина сердце","13.5","3.5","0","85.5"
"38","Баранки простые","10.4","1.3","64.09999999999999","309.7"
"39","Бастурма в специях","20","6","3","146"
"40","Батон нарезной","7.7","3","49.8","257"
"41","Бекон с прослойками жира","15.8","23.6","0","275.6"
"42","Бестер (или севрюга) непотрошенный","16.4","10.9","0","163.7"
"43","Бехеровка Настойка","0","0","0","0"
