"1","Брынза из коровьего молока","17.9","20.1","0","260"
"2","Йогурт нат. 1.5% жирности","5","1.5","3.5","51"
"3","Кефир нежирный","3","0.1","3.8","30"
"4","Кефир жирный","2.8","3.2","4.1","59"
"5","Молоко","2.8","3.2","4.7","58"
"6","Молоко ацидофильное","2.8","3.2","10.8","83"
"7","Молоко сухое цельное","25.6","25","39.4","475"
"8","Молоко сгущеное","7","7.9","9.5","135"
"9","Молоко сгущеное с сахаром","7.2","8.5","56","315"
"10","Простокваша","2.8","3.2","4.1","58"
"11","Ряженка","3","6","4.1","85"
"12","Сливки 10%","3","10","4","118"
"13","Сливки 20%","2.8","20","3.6","205"
"14","Сметана 10%","3","10","2.9","116"
"15","Сметана 20%","2.8","20","3.2","206"
"16","Сырки и масса творожные особые","7.1","23","27.5","340"
"17","Сыр российский","23.4","30","0","371"
"18","Сыр голландский","26.8","27.3","0","361"
"19","Сыр швейцарский","24.9","31.8","0","396"
"20","Сыр пошехонский","26","26.5","0","334"
"21","Сыр плавленный","24","13.5","0","226"
"22","Творог жирный","14","18","1.3","226"
"23","Творог полужирный","16.7","9","1.3","156"
"24","Творог нежирный","18","0.6","1.5","86"
"25","Жир топленый","0","99.7","0","897"
"26","Шпик свиной (без шкурки)","1.4","92.8","0","816"
"27","Маргарин молочный","0.3","82.3","1","746"
"28","Маргарин бутербродный","0.5","82","1.2","744"
"29","Майонез","3.1","67","2.6","627"
"30","Масло растительное","0","99.9","0","899"
"31","Масло сливочное","0.6","82.5","0.9","748"
"32","Масло топленое","0.3","98","0.6","887"
"33","Хлеб ржаной","4.7","0.7","49.8","214"
"34","Хлеб пшен. из муки I сорта","7.7","2.4","53.4","254"
"35","Сдобная выпечка","7.6","4.5","60","297"
"36","Баранки","10.4","1.3","68.7","312"
"37","Сушки","11","1.3","73","330"
"38","Сухари пшеничные","11.2","1.4","72.4","331"
"39","Сухари сливочные","8.5","10.6","71.3","397"
"40","Мука пшеничная высш. сорта","10.3","0.9","74.2","327"
"41","Мука пшеничная I сорта","10.6","1.3","73.2","329"
"42","Мука пшеничная II сорта","11.7","1.8","70.8","328"
"43","Мука ржаная","6.9","1.1","76.9","326"
"44","Гречневая ядрица","12.6","2.6","68","329"
"45","Гречневая продел","9.5","1.9","72.2","326"
"46","Манная","11.3","0.7","73.3","326"
"47","Овсяная","11.9","5.8","65.4","345"
"48","Перловая","9.3","1.1","73.7","324"
"49","Пшено","12","2.9","69.3","334"
"50","Рисовая","7","0.6","73.7","323"
"51","Пшеничная “Полтавская”","12.7","1.1","70.6","325"
"52","Толокно","12.2","5.8","68.3","357"
"53","Ячневая","10.4","1.3","71.7","322"
"54","Геркулес","13.1","6.2","65.7","355"
"55","Кукурузная","8.3","1.2","75","325"
"56","Баклажаны","0.6","0.1","5.5","24"
"57","Брюква","1.2","0.1","8.1","37"
"58","Горошек зеленый","5","0.2","13.3","72"
"59","Кабачки","0.6","0.3","5.7","27"
"60","Капуста белокочанная","1.8","-","5.4","28"
"61","Капуста краснокочанная","1.8","-","6.1","31"
"62","Капуста цветная","2.5","-","4.9","29"
"63","Картофель","2","0.1","19.7","83"
"64","Лук зеленый (перо)","1.3","-","4.3","22"
"65","Лук порей","3","-","7.3","40"
"66","Лук репчатый","1.7","-","9.5","43"
"67","Морковь красная","1.3","0.1","7","33"
"68","Огурцы грунтовые","0.8","-","3","15"
"69","Огурцы парниковые","0.7","-","1.8","10"
"70","Перец зеленый сладкий","1.3","-","4.7","23"
"71","Перец красный сладкий","1.3","-","5.7","27"
"72","Петрушка (зелень)","3.7","-","8.1","45"
"73","Петрушка (корень)","1.5","-","11","47"
"74","Ревень (черешковый)","0.7","-","2.9","16"
"75","Редис","1.2","-","4.1","20"
"76","Редька","1.9","-","7","34"
"77","Репа","1.5","-","5.9","28"
"78","Салат","1.5","-","2.2","14"
"79","Свекла","1.7","-","10.8","48"
"80","Томаты (грунтовые)","0.6","-","4.2","19"
"81","Томаты (парниковые)","0.6","-","2.9","14"
"82","Зеленая фасоль","4","-","4.3","32"
"83","Хрен","2.5","-","16.3","71"
"84","Черемша","2.4","-","6.5","34"
"85","Чеснок","6.5","-","21.2","106"
"86","Шпинат","2.9","-","2.3","21"
"87","Щавель","1.5","-","5.3","28"
"88","Абрикосы","0.9","-","10.5","46"
"89","Айва","0.6","-","8.9","38"
"90","Алыча","0.2","-","7.4","34"
"91","Ананас","0.4","-","11.8","48"
"92","Бананы","1.5","-","22.4","91"
"93","Вишня","0.8","-","11.3","49"
"94","Гранат","0.9","-","11.8","52"
"95","Груша","0.4","-","10.7","42"
"96","Инжир","0.7","-","13.9","56"
"97","Кизил","1","-","9.7","45"
"98","Персики","0.9","-","10.4","44"
"99","Рябина садовая","1.4","-","12.5","58"
"100","Рябина черноплодная","1.5","-","12","54"
"101","Слива садовая","0.8","-","9.9","43"
"102","Финики","2.5","-","72.1","281"
"103","Хурма","0.5","-","15.9","62"
"104","Черешня","1.1","-","12.3","52"
"105","Шелковица","0.7","-","12.7","53"
"106","Яблоки","0.4","-","11.3","46"
"107","Апельсин","0.9","-","8.4","38"
"108","Грейпфрут","0.9","-","7.3","35"
"109","Лимон","0.9","-","3.6","31"
"110","Мандарин","0.8","-","8.6","38"
"111","Брусника","0.7","-","8.6","40"
"112","Виноград","0.4","-","17.5","69"
"113","Голубика","1","-","7.7","37"
"114","Ежевика","2","-","5.3","33"
"115","Земляника","1.8","-","8.1","41"
"116","Клюква","0.5","-","4.8","28"
"117","Крыжовник","0.7","-","9.9","44"
"118","Малина","0.8","-","9","41"
"119","Морошка","0.8","-","6.8","31"
"120","Облепиха","0.9","-","5.5","30"
"121","Смородина белая","0.3","-","8.7","39"
"122","Смородина красная","0.6","-","8","38"
"123","Смородина черная","1","-","8","40"
"124","Черника","1.1","-","8.6","40"
"125","Шиповник свежий","1.6","-","24","101"
"126","Шиповник сушеный","4","-","60","253"
"127","Бобы","6","0.1","8.3","58"
"128","Горох лущеный","23","1.6","57.7","323"
"129","Горох цельный","23","1.2","53.3","303"
"130","Соя","34.9","17.3","26.5","395"
"131","Фасоль","22.3","1.7","54.5","309"
"132","Чечевица","24.8","1.1","53.7","310"
"133","Грибы Белые свежие","3.2","0.7","1.6","25"
"134","Грибы Белые сушеные","27.6","6.8","10","209"
"135","Подберезовики свежие","2.3","0.9","3.7","31"
"136","Подосиновики свежие","3.3","0.5","3.4","31"
"137","Сыроежи свежие","1.7","0.3","1.4","17"
"138","Баранина","16.3","15.3","0","203"
"139","Говядина","18.9","12.4","0","187"
"140","Конина","20.2","7","0","143"
"141","Кролик","20.7","12.9","0","199"
"142","Свинина нежирная","16.4","27.8","0","316"
"143","Свинина жирная","11.4","49.3","0","489"
"144","Телятина","19.7","1.2","0","90"
"145","Бараньи Почки","13.6","2.5","0","77"
"146","Баранья Печень","18.7","2.9","0","101"
"147","Баранье Сердце","13.5","2.5","0","82"
"148","Говяжьи Мозги","9.5","9.5","0","124"
"149","Говяжья Печень","17.4","3.1","0","98"
"150","Говяжьи Почки","12.5","1.8","0","66"
"151","Говяжье Вымя","12.3","13.7","0","173"
"152","Говяжье Сердце","15","3","0","87"
"153","Говяжий Язык","13.6","12.1","0","163"
"154","Почки свинные","13","3.1","0","80"
"155","Печень свинная","18.8","3.6","0","108"
"156","Сердце свинное","15.1","3.2","0","89"
"157","Язык свинной","14.2","16.8","0","208"
"158","Гуси","16.1","33.3","0","364"
"159","Индейка","21.6","12","0.8","197"
"160","Куры","20.8","8.8","0.6","165"
"161","Цыплята","18.7","7.8","0.4","156"
"162","Утки","16.5","61.2","0","346"
"163","Яйцо куриное","12.7","11.5","0.7","157"
"164","Яичный порошок","45","37.3","7.1","542"
"165","Сухой белок","73.3","1.8","7","336"
"166","Сухой желток","34.2","52.2","4.4","623"
"167","Яйцо перепелиное","11.9","13.1","0.6","168"
"168","Бычки","12.8","8.1","5.2","145"
"169","Горбуша","21","7","0","147"
"170","Камбала","16.1","2.6","0","88"
"171","Карась","17.7","1.8","0","87"
"172","Карп","16","3.1","0","96"
"173","Кета","22","5.1","0","138"
"174","Корюшка","15.5","3.1","0","91"
"175","Ледяная","15.5","1.1","0","75"
"176","Лещ","17.1","4.1","0","105"
"177","Семга","20.8","15.1","0","219"
"178","Макрурус","13.2","0.8","0","60"
"179","Минога","14.7","11.9","0","166"
"180","Минтай","15.9","0.7","0","70"
"181","Мойва","13.4","11.5","0","157"
"182","Навага","16.1","1","0","73"
"183","Налим","18.8","0.6","0","81"
"184","Нототения мраморная","14.8","10.7","0","156"
"185","Окунь морской","17.6","5.2","0","117"
"186","Окунь речной","18.5","0.9","0","82"
"187","Осетр","16.4","10.9","0","164"
"188","Палтус","18.9","3","0","103"
"189","Путассу","16.1","0.9","0","72"
"190","Рыба-сабля","20.3","3.2","0","110"
"191","Рыбец каспийский","19.2","2.4","0","98"
"192","Сазан","18.4","5.3","0","121"
"193","Сайра крупная","18.6","20.8","0","262"
"194","Сайра мелкая","20.4","0.8","0","143"
"195","Салака","17.3","5.6","0","121"
"196","Сельдь","17.7","19.5","0","242"
"197","Сиг","19","7.5","0","144"
"198","Скумбрия","18","9","0","153"
"199","Сом","16.8","8.5","0","144"
"200","Ставрида","18.5","5","0","119"
"201","Стерлядь","17","6.1","0","320"
"202","Судак","19","0.8","0","83"
"203","Треска","17.5","0.6","0","75"
"204","Тунец","22.7","0.7","0","96"
"205","Угольная рыба","13.2","11.6","0","158"
"206","Угорь морской","19.1","1.9","0","94"
"207","Угорь","14.5","30.5","0","333"
"208","Хек","16.6","2.2","0","86"
"209","Щука","18.8","0.7","0","82"
"210","Язь","18.2","0.3","0","117"
"211","Креветка дальневосточная","28.7","1.2","0","134"
"212","Печень трески","4.2","65.7","0","613"
"213","Кальмар","18","0.3","0","75"
"214","Краб","16","0.5","0","69"
"215","Креветка","18","0.8","0","83"
"216","Морская капуста","0.9","0.2","3","5"
"217","Паста “Океан”","18.9","6.8","0","137"
"218","Трепанг","7.3","0.6","0","35"
"219","Кеты зернистая","31.6","13.8","0","251"
"220","Лещевая пробойная","24.7","4.8","0","142"
"221","Минтаевая пробойная","28.4","1.9","0","131"
"222","Осетровая зернистая","28.9","9.7","0","203"
"223","Осетровая пробойная","36","10.2","0","123"
"224","Фундук","16.1","66.9","9.9","704"
"225","Миндаль","18.6","57.7","13.6","645"
"226","Грецкий орех","13.8","61.3","10.2","648"
"227","Арахис","26.3","45.2","9.7","548"
"228","Семя подсолнечника","20.7","52.9","5","578"
"229","Мед","0.8","0","80.3","308"
"230","Сахар","0.3","0","99.5","374"
"231","Шоколад темный","5.4","35.3","52.6","540"
"232","Шоколад молочный","6.9","35.7","52.4","547"
